file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BAC009S0083W0177,0.0,6.282,S0083,-44.422226438097134,-47.0269700050354,14.70922235616067,13.679972499527299
BAC009S0100W0419,0.0,5.5700625,S0100,-42.662747559470375,-42.91892010825021,14.70922235616067,5.974520413951048
BAC009S0360W0376,0.0,4.921125,S0360,-49.07529852642276,-53.57410788536072,14.698206981609191,11.465387850625445
BAC009S0101W0238,0.0,3.8608125,S0101,-46.40362390705958,-53.60366439819336,14.658276190102233,14.152522622334825
BAC009S0352W0494,0.0,3.573,S0352,-50.70443802521008,-53.9946122602983,14.646846938085652,11.88601936525609
BAC009S0711W0315,0.0,6.682125,S0711,-47.788530361152695,-49.435073018074036,14.646843467045045,7.445368603156858
BAC009S0068W0156,0.0,5.3310625,S0068,-44.69902820121951,-44.725194516389266,14.601124483243439,7.7207386125658
BAC009S0913W0297,0.0,3.7120625,S0913,-46.762276785714285,-50.97162791660854,14.570686910250126,10.630400468798872
BAC009S0714W0239,0.0,6.7469375,S0714,-47.279458912037036,-47.50193491289693,14.566947233987795,2.849625662963632
BAC009S0237W0283,0.0,3.5019375,S0237,-51.12814732142857,-55.385885365804036,14.484958874659911,11.420852436281475
BAC009S0908W0340,0.0,4.1279375,S0908,-44.786962772397096,-50.22516441345215,14.473315771203103,4.8947768075256946
BAC009S0153W0433,0.0,6.4511875,S0153,-48.59680535368217,-51.49225206375122,14.443607891770775,10.469929511355552
BAC009S0073W0424,0.0,5.3920625,S0073,-48.189811862244895,-47.922330627441404,14.403044988475331,7.1559327303041975
BAC009S0339W0369,0.0,8.01975,S0339,-45.19242421290524,-49.86372076946756,14.403044988475331,10.188311475564516
BAC009S0095W0263,0.0,4.416,S0095,-43.5599945206448,-42.502744765508744,14.402676535786263,8.09212022484133
BAC009S0760W0350,0.0,4.6679375,S0760,-49.27007076418629,-50.047273972455194,14.362807936908252,6.4907578612214785
BAC009S0107W0313,0.0,7.5851875,S0107,-46.400002058629774,-50.22736556441696,14.334670054983809,12.422160280249607
BAC009S0711W0261,0.0,4.782,S0711,-48.55156168279289,-48.61657351539249,14.315494442983153,7.196332025659215
BAC009S0661W0471,0.0,8.858875,S0661,-49.35953371896163,-50.42375466131395,14.271646836617045,3.5328961972732458
BAC009S0912W0420,0.0,4.099125,S0912,-48.3553115472561,-53.05587959289551,14.263922206029676,14.995900602267444
BAC009S0725W0330,0.0,3.9340625,S0725,-45.57677818861323,-46.95288885207403,14.213061234318682,14.706929777143264
BAC009S0712W0285,0.0,5.755,S0712,-46.75291951497396,-52.66665767801219,14.203659621538181,10.09656832317956
BAC009S0117W0187,0.0,6.203,S0117,-47.71352381552419,-48.47932038483796,14.174814053331476,12.656148885802637
BAC009S0337W0390,0.0,7.557875,S0337,-45.54071077215608,-47.27435452597482,14.174814053331476,9.858721788497736
BAC009S0234W0267,0.0,4.619,S0234,-47.87623867018398,-52.15948618375338,14.144107655704364,8.766948131630588
BAC009S0912W0438,0.0,7.729,S0912,-48.53283170278137,-50.899221593683414,14.124326059885956,13.400374764583367
BAC009S0221W0430,0.0,4.73,S0221,-46.81020001982029,-47.93922856648763,14.096867620789995,6.690684357684326
BAC009S0087W0300,0.0,6.0,S0087,-45.98567057291667,-48.08001505533854,14.096867620789995,12.322336837530788
BAC009S0521W0342,0.0,7.1709375,S0521,-47.38473566073919,-48.39069738842192,14.086814995180669,6.336593343679535
BAC009S0189W0341,0.0,6.474,S0189,-48.874103434119014,-48.45951892483619,14.081995500771228,8.485212712724351
BAC009S0150W0184,0.0,6.1130625,S0150,-46.20350539586743,-47.70271636500503,14.078764577949752,8.453650828694766
BAC009S0748W0436,0.0,6.701875,S0748,-49.80893773320896,-50.90588484870063,14.05720409096022,9.012991405611107
BAC009S0208W0203,0.0,3.4020625,S0208,-47.096188534007354,-49.17668363783095,14.05304814936626,12.224084416957183
BAC009S0106W0142,0.0,4.481,S0106,-45.37085396902902,-48.32508923457219,14.05304814936626,9.761344698595288
BAC009S0162W0448,0.0,4.5949375,S0162,-50.83202699482571,-53.17878511216905,14.05304814936626,8.831459062782738
BAC009S0184W0295,0.0,5.640125,S0184,-47.305629432624116,-48.60401744227256,14.00940694893173,8.717502066463862
